"","X","id","track_name","size_mb","currency","price","rating_count_tot","rating_count_ver","user_rating","user_rating_ver","ver","cont_rating","prime_genre","sup_devices.num","ipadSc_urls.num","lang.num","vpp_lic"
"1",1,281656475,"PAC-MAN Premium",96.119140625,"THB",133.266,21292,26,4,4.5,"6.3.5","4+","Games",38,5,10,1
"2",2,281796108,"Evernote - stay organized",151.232421875,"THB",0,161065,26,4,3.5,"8.2.2","4+","Productivity",37,5,23,1
"3",3,281940292,"WeatherBug - Local Weather, Radar, Maps, Alerts",95.8671875,"THB",0,188583,2822,3.5,4.5,"5.0.0","4+","Weather",37,5,3,1
"4",4,282614216,"eBay: Best App to Buy, Sell, Save! Online Shopping",122.55859375,"THB",0,262241,649,4,4.5,"5.10.0","12+","Shopping",37,5,9,1
"5",5,282935706,"Bible",88.4765625,"THB",0,985920,5320,4.5,5,"7.5.1","4+","Reference",37,5,45,1
"6",6,283619399,"Shanghai Mahjong",9.99995517730713,"THB",33.066,8253,5516,4,4,"1.8","4+","Games",47,5,1,1
"7",7,283646709,"PayPal - Send and request money safely",217.2431640625,"THB",0,119487,879,4,4.5,"6.12.0","4+","Finance",37,0,19,1
"8",8,284035177,"Pandora - Music & Radio",124.208984375,"THB",0,1126879,3594,4,4.5,"8.4.1","12+","Music",37,4,1,1
"9",9,284666222,"PCalc - The Best Calculator",46.96875,"THB",333.666,1117,4,4.5,5,"3.6.6","4+","Utilities",37,5,1,1
"10",10,284736660,"Ms. PAC-MAN",66.779296875,"THB",133.266,7885,40,4,4,"4.0.4","4+","Games",38,0,10,1
"11",11,284791396,"Solitaire by MobilityWare",47.3203125,"THB",166.666,76720,4017,4.5,4.5,"4.10.1","4+","Games",38,4,11,1
"12",12,284815117,"SCRABBLE Premium",217.005859375,"THB",266.866,105776,166,3.5,2.5,"5.19.0","4+","Games",37,0,6,1
"13",13,284815942,"Google – Search made just for mobile",171.6416015625,"THB",0,479440,203,3.5,4,"27.0","17+","Utilities",37,4,33,1
"14",14,284847138,"Bank of America - Mobile Banking",153.470703125,"THB",0,119773,2336,3.5,4.5,"7.3.8","4+","Finance",37,0,2,1
"15",15,284862767,"FreeCell",52.5986328125,"THB",166.666,6340,668,4.5,4.5,"4.0.3","4+","Games",38,5,2,1
"16",16,284876795,"TripAdvisor Hotels Flights Restaurants",198.2763671875,"THB",0,56194,87,4,3.5,"21.1","4+","Travel",37,1,26,1
"17",17,284882215,"Facebook",371.818359375,"THB",0,2974676,212,3.5,3.5,"95.0","4+","Social Networking",37,1,29,1
"18",18,284910350,"Yelp - Nearby Restaurants, Shopping & Services",159.65234375,"THB",0,223885,3726,4,4.5,"11.15.0","12+","Travel",37,5,18,1
"19",20,284993459,"Shazam - Discover music, artists, videos & lyrics",140.279296875,"THB",0,402925,136,4,4.5,"11.0.3","12+","Music",37,3,16,1
"20",21,285005463,"Crash Bandicoot Nitro Kart 3D",10.2377185821533,"THB",99.866,31456,4178,4,3.5,"1.0.0","4+","Games",47,0,1,1
"21",22,285946052,"iQuran",67.4323234558105,"THB",66.466,2929,966,4.5,4.5,"3.3","4+","Reference",43,0,2,1
"22",23,285994151,":) Sudoku +",5.8837890625,"THB",99.866,11447,781,5,5,"5.2.6","4+","Games",40,5,1,1
"23",24,286058814,"Yahoo Sports - Teams, Scores, News & Highlights",124.5341796875,"THB",0,137951,131,4,4.5,"6.9","4+","Sports",37,2,6,1
"24",25,286070473,"Mileage Log | Fahrtenbuch",67.9052734375,"THB",200.066,8,0,4.5,0,"9.0.5","4+","Business",37,5,3,1
"25",27,286799607,"Cleartune - Chromatic Tuner",10.8938293457031,"THB",133.266,3241,297,4,4,"2.1.3","4+","Music",43,2,10,1
"26",28,286906691,"Lifesum – Inspiring healthy lifestyle app",179.3076171875,"THB",0,5795,12,3.5,4,"8.4.1","4+","Health & Fitness",37,5,11,1
"27",29,286911400,"Hangman.",4.544921875,"THB",0,42316,248,3,3.5,"2.0.6","9+","Games",38,0,1,1
"28",31,288113403,"iTranslate - Language Translator & Dictionary",274.5947265625,"THB",0,123215,25,3.5,5,"10.5.4","4+","Productivity",37,5,23,1
"29",32,288120394,"TouchOSC",4.06640625,"THB",166.666,782,7,4,3.5,"1.9.8","4+","Music",43,1,1,1
"30",33,288419283,"RadarScope",164.7685546875,"THB",333.666,3449,23,4,4.5,"3.4.1","4+","Weather",37,5,1,1
"31",34,288429040,"LinkedIn",261.158203125,"THB",0,71856,62,3.5,4.5,"9.1.32","4+","Social Networking",37,2,23,1
"32",35,289084315,"Period Tracker Deluxe",38.353515625,"THB",66.466,13350,489,4.5,5,"9.6","12+","Health & Fitness",38,0,15,1
"33",36,289446241,"Election 2016 Map",2.2763671875,"THB",33.066,137,0,3,0,"5.0","4+","Entertainment",37,1,1,1
"34",37,289523017,"Blackjack by MobilityWare",100.546875,"THB",0,180087,1101,3.5,4.5,"5.5.3","12+","Games",37,5,5,1
"35",39,289894882,"White Noise",42.0849609375,"THB",33.066,33426,299,4,5,"7.2","4+","Health & Fitness",37,5,3,1
"36",40,290638154,"iHeartRadio – Free Music & Radio Stations",111.048828125,"THB",0,293228,110,4,3,"8.0.0","12+","Music",37,5,2,1
"37",41,290807369,"Line Rider iRide™",1.5703125,"THB",66.466,21609,69,3.5,2.5,"2.4","9+","Entertainment",40,0,1,1
"38",42,290986013,"Deliveries: a package tracker",28.6259765625,"THB",166.666,4684,10,4,4,"8.0.3","4+","Utilities",37,4,9,1
"39",43,291430598,"Hurricane Pro",28.1513671875,"THB",99.866,2104,0,4.5,0,"5.2","17+","Weather",37,0,1,1
"40",47,292421271,"Fieldrunners",63.7744140625,"THB",99.866,41633,6,4,3,"1.7.177604","9+","Games",37,0,1,1
"41",48,292628469,"Juxtaposer",43.1337890625,"THB",99.866,3610,7,4.5,5,"3.8.2","4+","Photo & Video",37,5,1,1
"42",49,292738169,"Deezer - Listen to your Favorite Music & Playlists",121.5654296875,"THB",0,4677,12,3,4,"6.19.0","12+","Music",37,5,21,1
"43",50,293118835,"iStellar",42.1923828125,"THB",133.266,30,0,3.5,0,"2.9.0","4+","Navigation",37,0,2,0
"44",51,293523031,"Sonos Controller",102.9814453125,"THB",0,48905,2691,4.5,4.5,"7.2","4+","Music",37,4,12,1
"45",52,293573778,"Avertinoo",7.671875,"THB",166.666,32,0,3,0,"3.9.2","4+","Navigation",38,5,7,1
"46",53,293622097,"Google Earth",35.490234375,"THB",0,446185,1359,3.5,3.5,"7.1.6","4+","Travel",43,5,30,1
"47",54,293760823,"iFart - The Original Fart Sounds App",57.5263671875,"THB",66.466,21825,10,3,4,"4.0.8","9+","Entertainment",37,5,1,1
"48",55,293778748,"PAC-MAN",96.177734375,"THB",0,508808,99,3,4.5,"6.3.5","4+","Games",38,5,10,1
"49",57,294056623,"FOX Sports Mobile",69.3779296875,"THB",0,57500,103,3,4,"3.5.13","4+","Sports",37,0,1,0
"50",58,294536447,"First Words Animals",30.6748046875,"THB",66.466,2576,4,4,5,"7.0","4+","Games",38,5,1,1
"51",59,294631159,"WeatherPro",65.87890625,"THB",66.466,1572,34,4,4.5,"4.8.2","4+","Weather",37,0,13,1
"52",60,294934058,"HotSchedules",78.2373046875,"THB",99.866,3292,2,3,5,"4.56.1","4+","Business",37,2,2,1
"53",61,295430577,"Star Walk - Find Stars And Planets in Sky Above",143.2373046875,"THB",166.666,8932,55,4.5,5,"7.2.3","4+","Education",37,0,12,1
"54",62,295646461,"The Weather Channel: Forecast, Radar & Alerts",190.4814453125,"THB",0,495626,5893,3.5,4.5,"8.11","4+","Weather",37,0,33,1
"55",63,295759189,"Big Day - Event Countdown",12.546875,"THB",33.066,812,14,3,4,"8.2.0","4+","Lifestyle",38,0,7,1
"56",64,295775656,"12 Steps AA Companion - Alcoholics Anonymous",28.9609375,"THB",99.866,1583,2,3.5,4.5,"2.5.9.2","12+","Lifestyle",37,5,1,1
"57",65,296581815,"OpenTable - Restaurant Reservations",89.0927734375,"THB",0,113936,150,4.5,5,"10.18.0","4+","Food & Drink",37,1,6,1
"58",66,297244048,"VLC Remote",30.0458984375,"THB",166.666,2027,2,4,5,"9.30","4+","Entertainment",37,5,33,1
"59",67,297332787,"gFlashPro - Flashcards & Tests",24.79296875,"THB",133.266,768,4,4,4,"7.1","4+","Education",37,3,3,1
"60",68,297368629,"Lose It! – Weight Loss Program and Calorie Counter",173.62109375,"THB",0,373835,402,4,4.5,"8.0.2","4+","Health & Fitness",37,3,1,1
"61",69,297430070,"Target",132.326171875,"THB",0,108131,13,3,2,"8.21.0","4+","Shopping",37,0,1,1
"62",70,297606726,"Fish Tycoon",12.9364347457886,"THB",33.066,18943,1787,3.5,4.5,"1.1.0","4+","Games",47,0,1,1
"63",71,297606951,"Amazon App: shop, scan, compare, and read reviews",127.4951171875,"THB",0,126312,22,3.5,3,"9.10.0","4+","Shopping",37,5,8,1
"64",72,297694601,"Touchgrind",52.6484375,"THB",166.666,35735,378,4,4.5,"1.5.1","4+","Games",40,0,0,1
